 written on 22Mar2022 at 20:10:06 
   2.82400000000000        2.82400000000000       0.000000000000000E+000
  0.000000000000000E+000   2.82400000000000        2.82400000000000     
   2.82400000000000       0.000000000000000E+000   2.82400000000000     
          16
          43
    3    3    3    3    1    3    3    1    1    3    1    1    1    3    3
    3    3    1    1    3    1    1    1    3    1    1    3    3    3    3
    1    1    1    3    1    1    3    3    1    3    3    3    3

   -2    0    1
   15   11    0.14084591E+00  0.15575517E-03
   16   11    0.71208005E-01  0.48047487E-03
    1   12   -0.16958510E-03 -0.28415866E-02
    2   12   -0.13840665E-02  0.79317446E-03
    3   12    0.99480994E-03  0.23177902E-02
    4   12    0.12457685E-02 -0.23416081E-03
    5   12   -0.57711259E-03 -0.30302148E-03
    6   12   -0.14827443E-03  0.30921941E-02
    7   12    0.82955461E-03  0.60508622E-04
    8   12   -0.92715243E-03 -0.11985584E-02
    9   12    0.94627926E-02 -0.52703220E-04
   10   12    0.80714338E-02 -0.68093233E-03
   11   12    0.77151014E-01  0.10276712E-02
