 written on  1Nov2023 at 16:06:55 
   3.5717025864237320        6.4991244369867793        6.4991244369867793     
   6.4991244369867793        3.5717025864237320        6.4991244369867793     
   6.4991244369867793        6.4991244369867793        3.5717025864237320     
          10
          37
    2    2    3    1    3    1    1    2    1    1    1    3    2    2    1
    1    2    1    1    1    2    1    1    2    2    3    1    1    1    2
    1    1    3    1    3    2    2

   -2    0    1
    2    1   -0.10769982E-08  0.41726131E-01
    3    1    0.81370735E-01 -0.12827905E-01
    4    1    0.22444593E-08  0.12827911E-01
    5    1    0.11234714E+00 -0.11199982E-02
    6    1   -0.17594999E-08  0.11199939E-02
    7    1    0.14858697E+00 -0.15771035E-01
    8    1    0.13810185E-08  0.15771028E-01
    9    1    0.87417926E-01  0.82044453E-02
   10    1    0.12128750E-08 -0.82044499E-02
    1    2   -0.54858023E-09  0.41726131E-01
    2    2   -0.11618492E-01  0.41726133E-01
    3    2   -0.72805411E-09  0.12827911E-01
    4    2    0.81370734E-01  0.12827902E-01
    5    2    0.21185168E-08  0.11199930E-02
    6    2    0.11234714E+00  0.11199995E-02
    7    2    0.36119858E-09  0.15771028E-01
    8    2    0.14858697E+00  0.15771033E-01
    9    2   -0.50954544E-08 -0.82044507E-02
   10    2    0.87417926E-01 -0.82044476E-02
    1    3    0.15033538E+00 -0.77644252E-02
    2    3    0.22317748E-08  0.77644299E-02
    3    3   -0.71383736E-01 -0.11777576E-01
    4    3    0.43375916E-09  0.11777574E-01
    5    3   -0.89693119E-03 -0.10075225E-02
    6    3   -0.69900582E-09  0.10075282E-02
    7    3   -0.25369141E-01 -0.28181480E-01
    8    3   -0.10378889E-08  0.28181479E-01
    9    3    0.19610083E+00 -0.26695307E-01
   10    3   -0.28147964E-08  0.26695307E-01
    1    4   -0.18501849E-08  0.77644294E-02
    2    4    0.15033538E+00  0.77644278E-02
    3    4    0.22062913E-08  0.11777577E-01
    4    4   -0.71383734E-01  0.11777576E-01
    5    4    0.12655754E-08  0.10075270E-02
    6    4   -0.89693067E-03  0.10075238E-02
    7    4    0.17488718E-08  0.28181479E-01
    8    4   -0.25369141E-01  0.28181480E-01
    9    4    0.36225046E-08  0.26695308E-01
   10    4    0.19610083E+00  0.26695309E-01
    1    5    0.57756061E-02 -0.54535510E-01
    2    5    0.17127707E-08  0.54535511E-01
    3    5   -0.61941080E-01  0.26478744E-02
    4    5    0.14531766E-08 -0.26478768E-02
    5    5   -0.21464652E-01 -0.43752173E-02
    6    5    0.29143899E-09  0.43752160E-02
    7    5    0.15137271E+00 -0.14445052E-01
    8    5   -0.45524773E-10  0.14445055E-01
    9    5   -0.71222866E-01 -0.38648510E-02
   10    5   -0.27401387E-08  0.38648515E-02
    1    6   -0.13501617E-08  0.54535510E-01
    2    6    0.57756079E-02  0.54535509E-01
    3    6   -0.89233006E-09 -0.26478782E-02
    4    6   -0.61941080E-01 -0.26478756E-02
    5    6   -0.25540641E-09  0.43752152E-02
    6    6   -0.21464652E-01  0.43752173E-02
    7    6   -0.10230047E-08  0.14445055E-01
    8    6    0.15137271E+00  0.14445053E-01
    9    6   -0.15334983E-09  0.38648516E-02
   10    6   -0.71222865E-01  0.38648517E-02
    1    7    0.20786633E+00 -0.14344431E-01
    2    7    0.23274823E-08  0.14344430E-01
    3    7    0.78038217E-01 -0.88130329E-02
    4    7   -0.23553699E-08  0.88130326E-02
    5    7    0.52608739E-01 -0.36740869E-01
    6    7    0.12167666E-08  0.36740869E-01
    7    7    0.37914032E-01  0.69936280E-02
    8    7   -0.58685705E-09 -0.69936267E-02
    9    7   -0.24936652E-02  0.54060185E-01
   10    7   -0.20485628E-08 -0.54060181E-01
    1    8   -0.61906159E-09  0.14344430E-01
    2    8    0.20786633E+00  0.14344432E-01
    3    8    0.34045516E-08  0.88130313E-02
    4    8    0.78038216E-01  0.88130325E-02
    5    8   -0.24955662E-08  0.36740869E-01
    6    8    0.52608739E-01  0.36740868E-01
    7    8   -0.14718182E-08 -0.69936286E-02
    8    8    0.37914030E-01 -0.69936281E-02
    9    8    0.17457756E-08 -0.54060181E-01
   10    8   -0.24936633E-02 -0.54060183E-01
    1    9    0.18800983E+00  0.17921691E-01
    2    9    0.88600914E-09 -0.17921687E-01
    3    9   -0.49795922E-01  0.67065712E-02
    4    9    0.52384206E-09 -0.67065696E-02
    5    9   -0.78470213E-01 -0.34339479E-01
    6    9   -0.10932825E-08  0.34339480E-01
    7    9   -0.17755573E+00  0.39629967E-01
    8    9    0.24616569E-08 -0.39629967E-01
    9    9    0.48637238E-01  0.38990832E-01
   10    9    0.27116899E-08 -0.38990832E-01
    1   10   -0.55096721E-08 -0.17921688E-01
    2   10    0.18800983E+00 -0.17921689E-01
    3   10    0.58395126E-09 -0.67065676E-02
    4   10   -0.49795921E-01 -0.67065726E-02
    5   10   -0.17709696E-08  0.34339480E-01
    6   10   -0.78470213E-01  0.34339479E-01
    7   10   -0.27154822E-08 -0.39629967E-01
    8   10   -0.17755573E+00 -0.39629969E-01
    9   10   -0.42631156E-08 -0.38990832E-01
   10   10    0.48637239E-01 -0.38990832E-01

   -1    0    0
    1    1   -0.91957801E-01 -0.68250216E-01
    2    1   -0.33497327E-01  0.68726674E-03
    3    1   -0.60979272E-01 -0.29980722E-01
    4    1    0.18181923E-01  0.15643549E-01
    5    1   -0.53988920E-01  0.52794529E-01
    6    1    0.13779737E-01  0.25638904E-01
    7    1    0.52376992E-01  0.21633134E-01
    8    1   -0.62689265E-01  0.97873855E-03
    9    1   -0.78802096E-01 -0.93711972E-01
   10    1    0.40819755E-02  0.29296063E-02
    1    2    0.33497328E-01  0.68726525E-03
    2    2   -0.91957800E-01  0.68250217E-01
    3    2   -0.18181924E-01  0.15643547E-01
    4    2   -0.60979270E-01  0.29980725E-01
    5    2   -0.13779739E-01  0.25638906E-01
    6    2   -0.53988919E-01 -0.52794531E-01
    7    2    0.62689268E-01  0.97873684E-03
    8    2    0.52376994E-01 -0.21633136E-01
    9    2   -0.40819732E-02  0.29296057E-02
   10    2   -0.78802097E-01  0.93711968E-01
    1    3    0.64636375E-02  0.83664925E-01
    2    3   -0.75367673E-02  0.79888140E-02
    3    3    0.15248698E-01 -0.32064671E-02
    4    3    0.80072735E-01  0.44885554E-02
    5    3    0.56320761E-02  0.65442267E-01
    6    3    0.16775570E-02 -0.46310859E-01
    7    3    0.70106642E-02 -0.18628306E-01
    8    3    0.19852814E-01  0.36367442E-01
    9    3   -0.40633941E-01  0.30258381E-01
   10    3    0.13032430E-01  0.18992605E-01
    1    4    0.75367699E-02  0.79888138E-02
    2    4    0.64636363E-02 -0.83664923E-01
    3    4   -0.80072734E-01  0.44885553E-02
